Trial,Study,Dose,Design,Design_code,Interval,Days,Group,G_code,CODE,Group_code,Group_list,Age,Gender,Task,n1i,m1i,sd1i,n2i,m2i,sd2i,Task_code,t,r,sdc,Ni,yi,vi,sei,zi,ci.lb,ci.ub
1,Woolley et al. 2014 ,40,Within,1,30,7, ,,14,3,Healthy,42.5,0,TASIT: Emotion,31,78.6,10.3,,78.1,10.3,3,0.2036528,0.119323341,13.66974665,93,0.0357,0.0323,0.1797,0.1984,-0.3165,0.3878
1,Woolley et al. 2014 ,40,Within,1,30,7, ,,15,3,Healthy,42.5,0,TASIT: Social,31,79.6,13.4,,85.5,11.9,3,2.146966,0.272991564,-15.30057287,93,-0.3759,0.0345,0.1858,-2.0225,-0.7401,-0.0116
1,Woolley et al. 2014 ,40,Within,1,30,7, ,,18,3,Healthy,42.5,0,RMET,31,74.2,10,,72.9,10.1,1,0.8176569,0.612118209,8.852238233,93,0.1431,0.0326,0.1805,0.793,-0.2107,0.497
2,Domes et al. 2007 ,24,Within,1,45,7, ,,23,3,Healthy,25.3,0,RMET,20,72.4,8.6,,69.4,8.1,1,2.18,0.729933967,6.154315534,20,0.4679,0.0555,0.2355,1.9867,0.0063,0.9295
3,Radke & de Bruijn 2015 ,24,Within,1,60,14, ,,20,3,Healthy,21.5,0,RMET,24,68.9,12.6,,67.8,12.6,1,0.465,0.577020207,11.58898373,24,0.0918,0.0418,0.2046,0.4487,-0.3091,0.4927
4,Woolley et al. 2016   ,40,Within,1,45,7, ,,17,3,Healthy,51.91,0,RMET,33,69.26,12.11,,69.91,12.69,1,0.3616375,0.654231511,-10.32516185,33,-0.0615,0.0304,0.1742,-0.3528,-0.403,0.28
5,Aoki et al. 2014 ,24,Within,1,40,7,ASD,5,8,2,Clinical,30.8,0,Sally Anne task,20,83.5,17,,78,18.7,4,2.5,0.85229632,9.838699101,20,0.5366,0.0572,0.2392,2.2437,0.0679,1.0054
6,MacDonald et al. 2013 ,40,Within,1,75,7.5,Depression,3,7,2,Clinical,43.65,0,RMET,17,29.29,3,,26.76,5,1,2.161018278,0.356635974,4.827102731,17,0.4991,0.0661,0.2572,1.9405,-0.005,1.0032
7,Guastella et al. 2015 ,24,Within,1,45,14,Schizophrenia,4,4,2,Clinical,37.42,0,RMET,21,25.24,4.58,,23.81,5.59,1,1.865475811,0.778928885,3.512821344,21,0.3916,0.0513,0.2264,1.7294,-0.0522,0.8354
8,Woolley et al. 2014   ,40,Within,1,30,7,Schizophrenia,4,1,2,Clinical,44.6,0,TASIT: Emotion,29,63.5,16,,63.8,17.5,3,0.08863871,0.410811732,-18.22622917,87,-0.016,0.0345,0.1857,-0.0862,-0.38,0.348
