Trial,Study,Dose,Design,Design_code,Interval,Days,Group,G_code,Group_code,Group_list,Age,CODE,Task,Task_code,n1i,m1i,sd1i,n2i,m2i,sd2i,Ceiling,r,Ni,yi,vi,sei,zi,ci.lb,ci.ub
1,Domes et al. 2014 ,24,Within,1,45,,,,2,Healthy,23.6,14,Emotion recognition: Mouth,1,14,0.74,0.14,,0.77,0.12,1,0.6546109,28,-0.2576,0.0738,0.2717,-0.9484,-0.7901,0.2748
1,Domes et al. 2014 ,24,Within,1,45,,,,2,Healthy,23.6,16,Emotion recognition: Eyes,1,14,0.9,0.06,,0.88,0.08,0,0.6533109,28,0.3082,0.0748,0.2735,1.1268,-0.2279,0.8443
2,Fischer-Shofty et al. 2010 ,24,Within,1,45,,,,2,Healthy,26.93,29,Dynamic emotion recognition,3,27,65.21333333,23.25278209,,63.46,21.07905833,1,0.870421051,27,0.1483,0.0374,0.1935,0.7664,-0.231,0.5276
3,Kirkpatrick et al. 2014b ,40,Within,1,30,5,,,2,Healthy,23.1,22,Emotion recognition,2,22,0.617725,0.09456,,0.59525,0.0964925,1,0.6522109,65,0.2718,0.0471,0.2171,1.252,-0.1537,0.6973
3,Kirkpatrick et al. 2014a ,20,Within,1,30,5,,,2,Healthy,23.1,23,Emotion recognition,2,43,0.5907,0.100495,,0.59535,0.11286,1,0.6564109,65,-0.0512,0.0233,0.1526,-0.3357,-0.3503,0.2479
4,Domes et al. 2014  ,24,Within,1,45,,ASD,4,1,Clinical,24,8,Emotion recognition: Mouth,1,14,0.66,0.15,,0.58,0.16,1,0.579830205,28,0.5288,0.0814,0.2853,1.8532,-0.0305,1.088
4,Domes et al. 2014  ,24,Within,1,45,,ASD,4,1,Clinical,24,9,Emotion recognition: Eyes,1,14,0.81,0.21,,0.69,0.16,1,0.479830205,28,0.5835,0.0836,0.2891,2.0181,0.0168,1.1501
5,Averbeck et al. 2012 ,24,Within,1,50,7.33,Schizophrenia,1,1,Clinical,38.2,2,HEDT: 70%,2,21,0.60565,0.197050755,,0.564483333,0.237530174,1,0.968385928,42,0.584,0.0557,0.2361,2.4736,0.1213,1.0467
5,Averbeck et al. 2012 ,24,Within,1,50,7.33,Schizophrenia,1,1,Clinical,38.2,3,HEDT: 30%,2,21,0.5481,0.192468179,,0.520816667,0.219199871,1,0.984533255,42,0.584,0.0557,0.2361,2.4736,0.1213,1.0467
6,Guastella et al. 2015  ,24,Within,1,45,14,Schizophrenia,1,1,Clinical,37.42,1,DANVA: faces,2,21,17.69,2.25,,17.3,3.04,1,0.46190424,42,0.1328,0.048,0.2192,0.6057,-0.2968,0.5623
6,Guastella et al. 2015 ,24,Within,1,45,14,Schizophrenia,1,1,Clinical,37.42,4,Emotion recognition,2,21,46.57,6.69,,48.24,6.76,1,0.819184232,42,-0.3972,0.0514,0.2267,-1.7523,-0.8414,0.0471
7,Kirsch et al. 2005 ,27,Within,1,50,10,,,2,Healthy,26.7,27,Emotion matching,5,15,99.1,17,,98.8,13.3,0,0.996680391,15,0.0728,0.0668,0.2585,0.2814,-0.434,0.5795
8,Koch et al. 2016 ,40,Within,1,44.68,21.25,PTSD,2,1,Clinical,39.925,5,Emotion matching,5,36,89.975,11.27,,86.26,12.63,0,0.6533339,36,0.3625,0.0296,0.1721,2.1069,0.0253,0.6997
9,Koch et al. 2016  ,40,Within,1,44.68,21.25,,,2,Healthy,40,26,Emotion matching,5,40,88.27,10.2,,89.145,12.45,0,0.6511209,40,-0.0887,0.0251,0.1584,-0.5596,-0.3992,0.2218
10,Chen et al. 2015 ,24,Within,1,45,7,,,2,Healthy,23.5,28,Dynamic emotion recognition,3,203,0.88355,0.1373175,,0.8825,0.1155875,0,0.6505909,203,0.0097,0.0049,0.0702,0.1386,-0.1278,0.1473
11,Bertsch et al. 2013 (4.2),26,Between,2,40,,,,2,Healthy,24.5,13,Emotion recognition: Mouth,1,21,92.73333333,9.623408959,20,90.53333333,9.391485505,0,,82,0.2268,0.0982,0.3134,0.7237,-0.3875,0.8412
